,analyze_and_understand_data_to_influence_product_or_business_decisions,build_the_data_infrastructure_that_my_business_uses_for_storing_analyzing_and_operationalizing_data,build_prototypes_to_explore_applying_machine_learning_to_new_areas,build_a_machine_learning_service_that_operationally_improves_my_product_or_workflows,experimentation_and_iteration_to_improve_existing_ml_models,do_research_that_advances_the_state_of_the_art_of_machine_learning,none_of_these_activities_are_an_important_part_of_my_role_at_work,what_is_the_primary_tool_that_you_use_at_work_or_school_to_analyze_data,highest_level_of_formal_education,job_title,yearly_compensation,does_your_current_employer_incorporate_machine_learning_methods_into_their_business
11749,,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Research Scientist,"30,000-39,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11750,,,,,,,,,Master’s degree,Data Scientist,,"We have well established ML methods (i.e., models in production for more than 2 years)"
11751,,,,,,,,,Bachelor’s degree,Data Analyst,,
11752,,,,,,,,,Master’s degree,Software Engineer,,I do not know
11753,,,,,,,,,Bachelor’s degree,Data Scientist,,
11754,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,,Master’s degree,Data Analyst,"3,000-3,999",We are exploring ML methods (and may one day put a model into production)
11755,,,,,,,,,Master’s degree,Data Scientist,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
11756,,,,,,,,,Master’s degree,Data Scientist,,I do not know
11757,,,Build prototypes to explore applying machine learning to new areas,,,,,,Bachelor’s degree,Data Analyst,"3,000-3,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11758,,,,,,,,,Master’s degree,Data Scientist,,
11759,,,,,,,,,Master’s degree,Data Analyst,,
11760,,,,,,,,,Master’s degree,Software Engineer,,
11761,,,,,,,,,Master’s degree,Business Analyst,,
11762,,,,,,,,,Doctoral degree,Data Scientist,,"We have well established ML methods (i.e., models in production for more than 2 years)"
11763,,,,,Experimentation and iteration to improve existing ML models,,,,Master’s degree,Research Scientist,"90,000-99,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11764,Analyze and understand data to influence product or business decisions,,,,,,,,Doctoral degree,Research Scientist,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
11765,,,,,,,,,Master’s degree,Data Scientist,,
11766,,,,,,,,,Bachelor’s degree,Data Analyst,,
11767,,,,,,,,,Master’s degree,Business Analyst,,No (we do not use ML methods)
11768,,,,,,,,,Doctoral degree,Data Analyst,,We are exploring ML methods (and may one day put a model into production)
11769,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,Master’s degree,Business Analyst,"300,000-500,000","We have well established ML methods (i.e., models in production for more than 2 years)"
11770,,,,,,,,,Some college/university study without earning a bachelor’s degree,Data Scientist,,
11771,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,Bachelor’s degree,Data Scientist,"80,000-89,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11772,,,,,,,,,Master’s degree,Business Analyst,$0-999,No (we do not use ML methods)
11773,,,,,,,,,Bachelor’s degree,Software Engineer,,
11774,,,,,,Do research that advances the state of the art of machine learning,,,Doctoral degree,Data Scientist,,"We have well established ML methods (i.e., models in production for more than 2 years)"
11775,,,,,,Do research that advances the state of the art of machine learning,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Doctoral degree,Research Scientist,"15,000-19,999",We are exploring ML methods (and may one day put a model into production)
11776,,,,,,,,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,$0-999,I do not know
11777,,,,,,,,,Some college/university study without earning a bachelor’s degree,Software Engineer,"4,000-4,999",I do not know
11778,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,Master’s degree,Data Scientist,,"We have well established ML methods (i.e., models in production for more than 2 years)"
11779,,,,,,,,,Bachelor’s degree,Software Engineer,$0-999,No (we do not use ML methods)
11780,,,,,Experimentation and iteration to improve existing ML models,,,,Master’s degree,Data Engineer,"20,000-24,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11781,,,,,,,,,Master’s degree,Data Analyst,,We use ML methods for generating insights (but do not put working models into production)
11782,Analyze and understand data to influence product or business decisions,,,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,Master’s degree,Data Scientist,"125,000-149,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11783,,,,,,,,,Bachelor’s degree,Data Scientist,,
11784,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,Doctoral degree,Data Scientist,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
11785,,,,,,,,,Master’s degree,Data Scientist,"2,000-2,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
11786,,,,,,,,,Master’s degree,Business Analyst,,
11787,,,,,,,,,Bachelor’s degree,Data Scientist,,
11788,,,,,,,,,Some college/university study without earning a bachelor’s degree,Data Scientist,,
11789,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,,Master’s degree,Data Scientist,$0-999,We are exploring ML methods (and may one day put a model into production)
